starttime	seconds	ctime	dtime	ttime	wait
Sat Jun 19 15:03:51 2021	1624107831	33	943	976	301
Sat Jun 19 15:03:58 2021	1624107838	31	945	976	784
Sat Jun 19 15:03:51 2021	1624107831	34	942	976	942
Sat Jun 19 15:03:53 2021	1624107833	31	945	976	356
Sat Jun 19 15:03:51 2021	1624107831	30	947	976	558
Sat Jun 19 15:03:52 2021	1624107832	33	943	976	230
Sat Jun 19 15:03:51 2021	1624107831	33	944	976	883
Sat Jun 19 15:04:02 2021	1624107842	31	946	977	364
Sat Jun 19 15:03:49 2021	1624107829	30	947	977	435
Sat Jun 19 15:03:51 2021	1624107831	31	946	977	915
Sat Jun 19 15:03:51 2021	1624107831	30	947	977	528
Sat Jun 19 15:03:58 2021	1624107838	35	942	977	880
Sat Jun 19 15:03:52 2021	1624107832	29	949	977	332
Sat Jun 19 15:03:53 2021	1624107833	31	946	977	484
Sat Jun 19 15:03:51 2021	1624107831	33	944	977	587
Sat Jun 19 15:03:53 2021	1624107833	30	947	977	257
Sat Jun 19 15:03:58 2021	1624107838	31	946	977	325
Sat Jun 19 15:03:49 2021	1624107829	32	945	977	335
Sat Jun 19 15:03:53 2021	1624107833	30	947	977	584
Sat Jun 19 15:03:58 2021	1624107838	33	944	978	356
Sat Jun 19 15:03:50 2021	1624107830	30	948	978	947
Sat Jun 19 15:03:53 2021	1624107833	34	944	978	322
Sat Jun 19 15:03:48 2021	1624107828	32	945	978	227
Sat Jun 19 15:03:53 2021	1624107833	35	943	978	287
Sat Jun 19 15:03:51 2021	1624107831	32	946	978	496
Sat Jun 19 15:03:51 2021	1624107831	36	942	978	397
Sat Jun 19 15:03:59 2021	1624107839	30	948	978	193
Sat Jun 19 15:03:51 2021	1624107831	31	947	978	464
Sat Jun 19 15:03:53 2021	1624107833	31	947	978	453
Sat Jun 19 15:03:53 2021	1624107833	31	947	978	225
Sat Jun 19 15:03:51 2021	1624107831	31	947	978	653
Sat Jun 19 15:03:58 2021	1624107838	35	944	979	389
Sat Jun 19 15:03:53 2021	1624107833	35	944	979	191
Sat Jun 19 15:03:52 2021	1624107832	35	943	979	296
Sat Jun 19 15:03:56 2021	1624107836	31	948	979	332
Sat Jun 19 15:03:51 2021	1624107831	33	945	979	620
Sat Jun 19 15:03:51 2021	1624107831	34	945	979	849
Sat Jun 19 15:03:53 2021	1624107833	32	946	979	515
Sat Jun 19 15:03:54 2021	1624107834	32	947	979	653
Sat Jun 19 15:03:51 2021	1624107831	31	948	979	685
Sat Jun 19 15:03:59 2021	1624107839	39	940	979	252
Sat Jun 19 15:03:49 2021	1624107829	31	948	979	367
Sat Jun 19 15:04:02 2021	1624107842	33	946	980	395
Sat Jun 19 15:03:53 2021	1624107833	33	946	980	420
Sat Jun 19 15:03:58 2021	1624107838	33	947	980	916
Sat Jun 19 15:03:51 2021	1624107831	31	948	980	817
Sat Jun 19 15:03:58 2021	1624107838	31	949	980	424
Sat Jun 19 15:03:59 2021	1624107839	34	946	980	291
Sat Jun 19 15:03:54 2021	1624107834	35	945	980	685
Sat Jun 19 15:03:53 2021	1624107833	35	945	980	549
Sat Jun 19 15:03:49 2021	1624107829	28	952	980	628
Sat Jun 19 15:03:53 2021	1624107833	31	949	980	96
Sat Jun 19 15:03:53 2021	1624107833	33	948	980	387
Sat Jun 19 15:03:51 2021	1624107831	30	950	980	434
Sat Jun 19 15:03:56 2021	1624107836	34	946	980	363
Sat Jun 19 15:03:49 2021	1624107829	36	944	980	398
Sat Jun 19 15:03:59 2021	1624107839	32	949	981	161
Sat Jun 19 15:03:49 2021	1624107829	31	950	981	856
Sat Jun 19 15:03:58 2021	1624107838	32	949	981	949
Sat Jun 19 15:03:48 2021	1624107828	28	953	981	98
Sat Jun 19 15:03:54 2021	1624107834	35	946	981	721
Sat Jun 19 15:03:54 2021	1624107834	31	950	981	622
Sat Jun 19 15:03:55 2021	1624107835	34	948	981	587
Sat Jun 19 15:03:49 2021	1624107829	38	944	981	495
Sat Jun 19 15:03:51 2021	1624107831	34	947	981	750
Sat Jun 19 15:03:51 2021	1624107831	34	947	981	716
Sat Jun 19 15:03:53 2021	1624107833	30	951	981	160
Sat Jun 19 15:03:51 2021	1624107831	33	949	982	784
Sat Jun 19 15:03:49 2021	1624107829	32	950	982	950
Sat Jun 19 15:03:48 2021	1624107828	31	951	982	197
Sat Jun 19 15:03:53 2021	1624107833	33	949	982	127
Sat Jun 19 15:03:56 2021	1624107836	31	951	982	301
Sat Jun 19 15:03:56 2021	1624107836	32	950	982	199
Sat Jun 19 15:03:49 2021	1624107829	29	953	982	923
Sat Jun 19 15:03:49 2021	1624107829	30	952	982	567
Sat Jun 19 15:03:55 2021	1624107835	30	952	982	557
Sat Jun 19 15:03:59 2021	1624107839	33	949	982	918
Sat Jun 19 15:03:49 2021	1624107829	35	947	982	887
Sat Jun 19 15:03:56 2021	1624107836	29	953	982	435
Sat Jun 19 15:03:56 2021	1624107836	34	948	983	465
Sat Jun 19 15:03:58 2021	1624107838	35	948	983	948
Sat Jun 19 15:03:54 2021	1624107834	32	950	983	821
Sat Jun 19 15:03:56 2021	1624107836	32	951	983	69
Sat Jun 19 15:03:59 2021	1624107839	31	952	983	887
Sat Jun 19 15:03:56 2021	1624107836	38	944	983	397
Sat Jun 19 15:03:48 2021	1624107828	29	954	983	887
Sat Jun 19 15:03:59 2021	1624107839	32	951	983	951
Sat Jun 19 15:03:49 2021	1624107829	35	949	983	532
Sat Jun 19 15:03:54 2021	1624107834	29	954	983	923
Sat Jun 19 15:03:56 2021	1624107836	31	952	983	168
Sat Jun 19 15:03:58 2021	1624107838	32	951	983	102
Sat Jun 19 15:03:49 2021	1624107829	34	950	984	94
Sat Jun 19 15:03:54 2021	1624107834	32	952	984	789
Sat Jun 19 15:03:49 2021	1624107829	30	954	984	598
Sat Jun 19 15:03:49 2021	1624107829	33	951	984	759
Sat Jun 19 15:03:56 2021	1624107836	31	953	984	528
Sat Jun 19 15:03:56 2021	1624107836	34	950	984	101
Sat Jun 19 15:03:49 2021	1624107829	34	950	984	128
Sat Jun 19 15:03:56 2021	1624107836	33	951	984	135
Sat Jun 19 15:03:55 2021	1624107835	32	952	984	460
Sat Jun 19 15:03:49 2021	1624107829	31	953	984	952
Sat Jun 19 15:03:56 2021	1624107836	34	950	984	267
Sat Jun 19 15:03:59 2021	1624107839	34	951	984	127
Sat Jun 19 15:03:54 2021	1624107834	33	951	984	756
Sat Jun 19 15:03:48 2021	1624107828	33	951	985	162
Sat Jun 19 15:03:58 2021	1624107838	34	951	985	135
Sat Jun 19 15:03:48 2021	1624107828	30	954	985	954
Sat Jun 19 15:03:54 2021	1624107834	37	948	985	853
Sat Jun 19 15:03:48 2021	1624107828	34	951	985	950
Sat Jun 19 15:03:48 2021	1624107828	36	949	985	127
Sat Jun 19 15:03:53 2021	1624107833	32	953	985	953
Sat Jun 19 15:03:49 2021	1624107829	32	953	985	824
Sat Jun 19 15:03:59 2021	1624107839	30	955	985	564
Sat Jun 19 15:03:56 2021	1624107836	30	955	985	889
Sat Jun 19 15:03:56 2021	1624107836	36	949	985	231
Sat Jun 19 15:03:59 2021	1624107839	31	954	986	790
Sat Jun 19 15:03:49 2021	1624107829	32	954	986	792
Sat Jun 19 15:03:53 2021	1624107833	32	954	986	922
Sat Jun 19 15:03:55 2021	1624107835	30	956	986	832
Sat Jun 19 15:03:49 2021	1624107829	36	950	986	657
Sat Jun 19 15:03:56 2021	1624107836	35	951	986	560
Sat Jun 19 15:03:56 2021	1624107836	30	956	986	499
Sat Jun 19 15:03:59 2021	1624107839	33	953	986	823
Sat Jun 19 15:03:48 2021	1624107828	29	957	986	858
Sat Jun 19 15:03:48 2021	1624107828	30	956	986	269
Sat Jun 19 15:03:55 2021	1624107835	31	955	986	526
Sat Jun 19 15:03:59 2021	1624107839	31	955	986	855
Sat Jun 19 15:03:54 2021	1624107834	32	954	986	395
Sat Jun 19 15:03:48 2021	1624107828	34	952	986	916
Sat Jun 19 15:03:54 2021	1624107834	32	954	986	427
Sat Jun 19 15:03:59 2021	1624107839	29	958	986	99
Sat Jun 19 15:03:59 2021	1624107839	34	952	986	594
Sat Jun 19 15:03:58 2021	1624107838	30	956	987	169
Sat Jun 19 15:03:48 2021	1624107828	34	952	987	333
Sat Jun 19 15:03:54 2021	1624107834	31	956	987	100
Sat Jun 19 15:03:53 2021	1624107833	30	957	987	856
Sat Jun 19 15:03:56 2021	1624107836	34	953	987	499
Sat Jun 19 15:03:56 2021	1624107836	34	953	987	920
Sat Jun 19 15:03:49 2021	1624107829	33	954	987	726
Sat Jun 19 15:03:54 2021	1624107834	34	954	987	492
Sat Jun 19 15:03:59 2021	1624107839	34	954	987	660
Sat Jun 19 15:03:54 2021	1624107834	32	955	987	890
